Accuracy: 0.2939138414478715

n_chords: 1
n_melody: 0
t_prior: 50.0
e_prior: 50.0
dataset: All
keys: major
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[-1]	[8]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[6]
[-1]	[6]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[1]
[-1]	[10]
[-1]	[10]
[-1]	[15]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[6]
[-1]	[6]
[-1]	[15]
[-1]	[15]
[-1]	[15]
[-1]	[15]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[3]
[1]	[3]
[1]	[3]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[10]
[8]	[10]
[8]	[10]
[8]	[15]
[8]	[15]
[8]	[15]
[8]	[15]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[8]	[15]
[8]	[15]
[8]	[15]
[8]	[15]
[8]	[8]
[8]	[8]
[8]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[15]
[1]	[15]
[1]	[15]
[1]	[15]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[-1]	[1]
[-1]	[22]
[-1]	[22]
[-1]	[22]
[-1]	[22]
[-1]	[24]
[-1]	[6]
[-1]	[19]
[-1]	[19]
[-1]	[22]
[-1]	[22]
[-1]	[22]
[-1]	[5]
[-1]	[5]
[-1]	[5]
[-1]	[22]
[-1]	[22]
[-1]	[22]
[-1]	[3]
[-1]	[5]
[-1]	[22]
[-1]	[24]
[-1]	[22]
[-1]	[17]
[-1]	[17]
[-1]	[1]
[-1]	[24]
[-1]	[19]
[-1]	[8]
[-1]	[22]
[-1]	[8]
[-1]	[8]
[-1]	[10]
[-1]	[14]
[-1]	[17]
[-1]	[19]
[-1]	[1]
[-1]	[12]
[-1]	[5]
[-1]	[1]
[-1]	[1]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[17]
[-1]	[5]
[-1]	[22]
[-1]	[5]
[-1]	[22]
[-1]	[22]
[-1]	[24]
[-1]	[24]
[-1]	[19]
[-1]	[22]
[-1]	[19]
[-1]	[15]
[-1]	[5]
[-1]	[5]
[-1]	[5]
[-1]	[22]
[-1]	[22]
[-1]	[22]
[-1]	[24]
[-1]	[17]
[-1]	[22]
[-1]	[5]
[-1]	[1]
[-1]	[6]
[-1]	[6]
[-1]	[1]
[-1]	[1]
[-1]	[6]
[-1]	[6]
[-1]	[1]
[-1]	[1]
[-1]	[6]
[-1]	[6]
[-1]	[1]
[-1]	[1]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[6]
[-1]	[6]
[-1]	[1]
[-1]	[1]
[-1]	[6]
[-1]	[6]
[-1]	[1]
[-1]	[1]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[1]
[-1]	[1]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[1]
[-1]	[-1]
[-1]	[-1]
[-1]	[-1]
[-1]	[-1]
[-1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[6]	[8]
[6]	[8]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[8]	[6]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[6]	[1]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[1]	[6]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[15]
[1]	[15]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[1]	[3]
[6]	[3]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[3]
[6]	[3]
[6]	[3]
[6]	[3]
[6]	[3]
[6]	[3]
[6]	[3]
[6]	[3]
[6]	[3]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[11]
[6]	[11]
[6]	[11]
[6]	[11]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[11]
[6]	[11]
[6]	[11]
[6]	[11]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[6]
[6]	[6]
[-1]	[6]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[10]
[-1]	[10]
[-1]	[10]
[-1]	[3]
[-1]	[3]
[-1]	[3]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[10]
[-1]	[10]
[-1]	[10]
[-1]	[10]
[-1]	[10]
[-1]	[10]
[-1]	[10]
[-1]	[10]
[-1]	[10]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[3]
[-1]	[3]
[-1]	[3]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[10]
[-1]	[10]
[-1]	[10]
[-1]	[10]
[-1]	[10]
[-1]	[10]
[-1]	[10]
[-1]	[10]
[-1]	[10]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[8]
[-1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[3]
[1]	[3]
[1]	[3]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[6]
[1]	[6]
[1]	[6]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[-1]	[1]
[-1]	[-1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[1]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[8]	[1]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[6]
[8]	[6]
[8]	[6]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[1]
[8]	[1]
[8]	[6]
[8]	[6]
[8]	[6]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[22]
[1]	[22]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[6]
[1]	[6]
[1]	[6]
[1]	[1]
[1]	[1]
[8]	[1]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[6]
[8]	[6]
[8]	[6]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[8]
[8]	[8]
[8]	[8]
[-1]	[1]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[6]	[1]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[8]	[1]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[1]
[8]	[1]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[1]
[8]	[8]
[8]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[6]	[1]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[6]
[6]	[6]
[-1]	[6]
[-1]	[-1]
[-1]	[-1]
[-1]	[-1]
[-1]	[20]
[-1]	[20]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[6]
[-1]	[1]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[20]
[-1]	[20]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[8]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[22]
[-1]	[22]
[-1]	[22]
[-1]	[8]
[1]	[-1]
[1]	[-1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[8]	[1]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[8]	[5]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[8]	[3]
[1]	[3]
[1]	[3]
[1]	[3]
[1]	[3]
[1]	[3]
[1]	[3]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[8]	[6]
[8]	[11]
[8]	[11]
[8]	[11]
[8]	[11]
[8]	[11]
[8]	[11]
[8]	[11]
[8]	[11]
[8]	[11]
[1]	[11]
[1]	[11]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[6]
[-1]	[6]
[-1]	[8]
[15]	[8]
[15]	[6]
[15]	[6]
[15]	[6]
[15]	[6]
[15]	[6]
[15]	[6]
[15]	[6]
[15]	[6]
[15]	[6]
[15]	[6]
[15]	[6]
[15]	[6]
[15]	[6]
[15]	[6]
[15]	[6]
[1]	[6]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[1]	[6]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[8]	[1]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[1]
[8]	[6]
[8]	[8]
[8]	[6]
[8]	[6]
[8]	[6]
[8]	[6]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[1]	[6]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[1]	[6]
[1]	[6]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[1]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[6]
[6]	[6]
[6]	[6]
[1]	[6]
[1]	[1]
[1]	[1]
[8]	[1]
[8]	[1]
[8]	[8]
[8]	[8]
[-1]	[8]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[1]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[6]	[1]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[8]
[6]	[1]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[8]	[1]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[6]	[6]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[8]	[1]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[8]	[8]
[-1]	[8]
[-1]	[-1]
[-1]	[-1]
[-1]	[-1]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[6]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[-1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[8]
[1]	[1]
[1]	[1]
[1]	[1]
[1]	[8]
