Accuracy: 0.02799689216060682

n_chords: 1
n_melody: 1
t_prior: 22.5
e_prior: 0.0
dataset: All
keys: minor
filter_train_set: True
filter_val_set: True

~ First 3000 predicted states ~
Predicted	True
[24 93]	[13 61]
[24 93]	[13 71]
[24 93]	[13 61]
[24 93]	[13 68]
[24 93]	[13 61]
[24 93]	[13 69]
[24 93]	[13 68]
[24 93]	[13 66]
[24 93]	[12 64]
[24 93]	[12 63]
[24 93]	[12 59]
[24 93]	[12 66]
[24 93]	[12 59]
[24 93]	[12 68]
[24 93]	[12 59]
[24 93]	[12 66]
[24 93]	[12 59]
[24 93]	[12 69]
[24 93]	[12 59]
[24 93]	[12 68]
[24 93]	[12 59]
[24 93]	[12 66]
[24 93]	[12 64]
[24 93]	[12 59]
[24 93]	[13 63]
[24 93]	[13 64]
[24 93]	[13 61]
[24 93]	[13 68]
[24 93]	[13 61]
[24 93]	[13 69]
[24 93]	[13 61]
[24 93]	[13 68]
[24 93]	[13 61]
[24 93]	[13 71]
[24 93]	[13 61]
[24 93]	[13 68]
[24 93]	[13 61]
[24 93]	[13 69]
[24 93]	[13 68]
[24 93]	[13 66]
[24 93]	[12 64]
[24 93]	[12 63]
[24 93]	[12 59]
[24 93]	[12 66]
[24 93]	[12 59]
[24 93]	[12 68]
[24 93]	[12 59]
[24 93]	[12 66]
[24 93]	[13 59]
[24 93]	[13 64]
[-1 -1]	[13 61]
[24 93]	[13 61]
[24 93]	[-1 59]
[24 93]	[-1 68]
[24 93]	[-1 67]
[24 93]	[13 68]
[24 93]	[13 69]
[24 93]	[13 68]
[24 93]	[13 73]
[24 93]	[13 68]
[24 93]	[13 67]
[24 93]	[ 8 68]
[24 93]	[ 8 69]
[24 93]	[ 8 68]
[24 93]	[ 8 75]
[24 93]	[ 8 68]
[24 93]	[ 8 67]
[24 93]	[ 8 68]
[24 93]	[ 8 69]
[24 93]	[ 8 68]
[24 93]	[ 8 78]
[24 93]	[ 8 75]
[24 93]	[ 8 72]
[24 93]	[ 8 68]
[24 93]	[ 8 66]
[24 93]	[13 65]
[24 93]	[13 64]
[24 93]	[13 72]
[24 93]	[13 73]
[24 93]	[13 72]
[24 93]	[13 71]
[24 93]	[18 70]
[24 93]	[18 69]
[24 93]	[18 73]
[24 93]	[18 78]
[24 93]	[18 69]
[24 93]	[18 73]
[24 93]	[13 78]
[24 93]	[13 68]
[24 93]	[13 73]
[24 93]	[13 76]
[24 93]	[13 68]
[24 93]	[13 73]
[24 93]	[ 3 74]
[24 93]	[ 3 75]
[24 93]	[ 3 76]
[24 93]	[ 3 75]
[24 93]	[ 3 73]
[24 93]	[ 3 72]
[24 93]	[ 8 73]
[24 93]	[ 8 75]
[24 93]	[ 8 75]
[24 93]	[ 8 68]
[24 93]	[ 8 67]
[24 93]	[13 68]
[24 93]	[13 69]
[24 93]	[13 68]
[24 93]	[13 73]
[24 93]	[13 68]
[24 93]	[13 67]
[24 93]	[ 8 68]
[24 93]	[ 8 69]
[24 93]	[ 8 68]
[24 93]	[ 8 75]
[24 93]	[ 8 68]
[24 93]	[ 8 67]
[24 93]	[ 8 68]
[24 93]	[ 8 69]
[24 93]	[ 8 68]
[24 93]	[ 8 78]
[24 93]	[ 8 75]
[24 93]	[ 8 72]
[24 93]	[ 8 68]
[24 93]	[ 8 66]
[24 93]	[13 65]
[24 93]	[13 64]
[24 93]	[13 72]
[24 93]	[13 73]
[24 93]	[13 72]
[24 93]	[13 71]
[24 93]	[18 70]
[24 93]	[18 69]
[24 93]	[18 73]
[24 93]	[18 78]
[24 93]	[18 69]
[24 93]	[18 73]
[24 93]	[18 78]
[24 93]	[18 69]
[24 93]	[13 73]
[24 93]	[13 68]
[24 93]	[13 73]
[24 93]	[13 76]
[24 93]	[13 68]
[24 93]	[13 73]
[24 93]	[13 76]
[24 93]	[13 68]
[24 93]	[13 72]
[24 93]	[ 8 75]
[24 93]	[ 8 80]
[24 93]	[ 8 68]
[24 93]	[ 8 80]
[24 93]	[ 8 81]
[24 93]	[ 8 80]
[24 93]	[ 8 78]
[24 93]	[ 8 76]
[24 93]	[13 75]
[24 93]	[13 73]
[24 93]	[13 73]
[24 93]	[13 68]
[24 93]	[13 69]
[24 93]	[ 5 70]
[24 93]	[ 5 71]
[24 93]	[ 5 70]
[24 93]	[ 5 71]
[24 93]	[ 5 70]
[24 93]	[ 5 71]
[24 93]	[18 72]
[24 93]	[18 73]
[24 93]	[18 69]
[24 93]	[18 68]
[24 93]	[18 69]
[24 93]	[12 70]
[24 93]	[12 71]
[24 93]	[12 63]
[24 93]	[12 66]
[24 93]	[12 71]
[24 93]	[12 63]
[24 93]	[12 66]
[24 93]	[12 75]
[24 93]	[ 5 74]
[24 93]	[ 5 73]
[24 93]	[ 5 68]
[24 93]	[ 5 76]
[24 93]	[ 5 76]
[24 93]	[ 5 68]
[24 93]	[ 5 76]
[24 93]	[ 5 68]
[24 93]	[ 5 76]
[24 93]	[ 5 68]
[24 93]	[ 5 75]
[24 93]	[ 5 68]
[24 93]	[ 5 75]
[24 93]	[18 68]
[24 93]	[18 73]
[24 93]	[18 69]
[24 93]	[18 62]
[24 93]	[18 63]
[24 93]	[12 66]
[24 93]	[12 75]
[24 93]	[12 69]
[24 93]	[12 73]
[24 93]	[12 68]
[24 93]	[12 69]
[24 93]	[ 5 70]
[24 93]	[ 5 71]
[24 93]	[ 5 68]
[24 93]	[ 5 67]
[24 93]	[ 5 68]
[24 93]	[ 5 69]
[24 93]	[ 5 71]
[24 93]	[ 5 64]
[24 93]	[ 5 68]
[24 93]	[ 5 71]
[24 93]	[ 5 64]
[24 93]	[ 5 68]
[24 93]	[ 5 71]
[24 93]	[18 72]
[24 93]	[18 73]
[24 93]	[18 66]
[24 93]	[18 69]
[24 93]	[18 73]
[24 93]	[18 66]
[24 93]	[18 76]
[24 93]	[18 75]
[24 93]	[18 74]
[24 93]	[12 73]
[24 93]	[12 71]
[24 93]	[12 63]
[24 93]	[12 66]
[24 93]	[12 71]
[24 93]	[12 63]
[24 93]	[12 66]
[24 93]	[12 71]
[24 93]	[ 5 72]
[24 93]	[ 5 73]
[24 93]	[ 5 68]
[24 93]	[ 5 68]
[24 93]	[ 5 68]
[24 93]	[ 5 71]
[24 93]	[ 5 76]
[24 93]	[10 75]
[24 93]	[10 73]
[24 93]	[10 72]
[24 93]	[10 73]
[24 93]	[23 75]
[24 93]	[23 78]
[24 93]	[23 76]
[24 93]	[23 75]
[24 93]	[ 5 76]
[24 93]	[ 5 80]
[24 93]	[ 5 81]
[24 93]	[ 5 82]
[24 93]	[ 1 83]
[24 93]	[ 1 85]
[24 93]	[ 1 83]
[24 93]	[ 1 81]
[24 93]	[18 80]
[24 93]	[18 78]
[24 93]	[18 76]
[24 93]	[18 75]
[24 93]	[12 73]
[24 93]	[12 71]
[24 93]	[12 69]
[24 93]	[12 68]
[24 93]	[ 5 66]
[24 93]	[ 5 64]
[24 93]	[ 5 64]
[24 93]	[ 5 73]
[24 93]	[ 5 76]
[24 93]	[ 1 80]
[24 93]	[ 1 85]
[24 93]	[ 1 73]
[24 93]	[ 1 76]
[24 93]	[ 1 80]
[24 93]	[ 1 83]
[24 93]	[ 1 73]
[24 93]	[ 1 76]
[24 93]	[ 1 80]
[24 93]	[ 1 81]
[24 93]	[ 1 73]
[24 93]	[ 1 76]
[24 93]	[ 1 80]
[24 93]	[ 1 81]
[24 93]	[ 1 80]
[24 93]	[ 1 76]
[24 93]	[ 1 73]
[24 93]	[ 1 85]
[24 93]	[ 1 73]
[24 93]	[ 1 76]
[24 93]	[ 1 80]
[24 93]	[ 1 83]
[24 93]	[ 1 73]
[24 93]	[ 1 76]
[24 93]	[15 80]
[24 93]	[15 81]
[24 93]	[15 69]
[24 93]	[15 75]
[24 93]	[15 78]
[24 93]	[15 81]
[24 93]	[15 78]
[24 93]	[15 75]
[24 93]	[15 69]
[24 93]	[15 85]
[24 93]	[15 69]
[24 93]	[15 75]
[24 93]	[15 78]
[24 93]	[15 83]
[24 93]	[15 69]
[24 93]	[15 75]
[24 93]	[ 8 78]
[24 93]	[ 8 81]
[24 93]	[ 8 69]
[24 93]	[ 8 75]
[24 93]	[ 8 78]
[24 93]	[ 8 81]
[24 93]	[ 8 78]
[24 93]	[ 8 75]
[24 93]	[ 8 69]
[24 93]	[ 8 85]
[24 93]	[ 8 69]
[24 93]	[ 8 75]
[24 93]	[ 8 78]
[24 93]	[ 8 83]
[24 93]	[ 8 69]
[24 93]	[ 8 75]
[24 93]	[ 1 78]
[24 93]	[ 1 81]
[24 93]	[ 1 73]
[24 93]	[ 1 76]
[24 93]	[ 1 80]
[24 93]	[ 1 81]
[24 93]	[ 1 80]
[24 93]	[ 1 76]
[24 93]	[ 1 73]
[24 93]	[ 1 85]
[24 93]	[ 1 73]
[24 93]	[ 1 76]
[24 93]	[ 1 80]
[24 93]	[ 1 83]
[24 93]	[ 1 73]
[24 93]	[ 1 76]
[24 93]	[ 1 80]
[24 93]	[ 1 81]
[24 93]	[ 1 73]
[24 93]	[ 1 76]
[24 93]	[ 1 80]
[24 93]	[ 1 81]
[24 93]	[ 1 80]
[24 93]	[ 1 76]
[24 93]	[10 73]
[24 93]	[10 81]
[24 93]	[10 83]
[24 93]	[10 81]
[24 93]	[10 80]
[24 93]	[10 78]
[24 93]	[15 76]
[24 93]	[15 81]
[24 93]	[15 80]
[24 93]	[15 78]
[24 93]	[13 76]
[24 93]	[13 75]
[24 93]	[13 73]
[24 93]	[13 71]
[24 93]	[ 6 71]
[24 93]	[ 6 69]
[24 93]	[ 6 71]
[24 93]	[ 6 72]
[24 93]	[19 73]
[24 93]	[19 75]
[24 93]	[19 73]
[24 93]	[19 71]
[24 93]	[ 1 73]
[24 93]	[ 1 76]
[24 93]	[ 1 78]
[24 93]	[ 1 79]
[24 93]	[10 80]
[24 93]	[10 81]
[24 93]	[10 80]
[24 93]	[10 78]
[24 93]	[15 76]
[24 93]	[15 75]
[24 93]	[15 73]
[24 93]	[15 71]
[24 93]	[ 8 69]
[24 93]	[ 8 68]
[24 93]	[ 8 66]
[-1 -1]	[ 8 64]
[24 93]	[ 1 63]
[24 93]	[13 61]
[24 93]	[13 68]
[24 93]	[13 73]
[24 93]	[13 75]
[24 93]	[13 76]
[24 93]	[13 75]
[24 93]	[10 73]
[24 93]	[10 69]
[24 93]	[10 73]
[24 93]	[10 75]
[24 93]	[10 76]
[24 93]	[10 75]
[24 93]	[ 6 73]
[24 93]	[ 6 70]
[24 93]	[ 6 73]
[24 93]	[ 6 75]
[24 93]	[ 6 76]
[24 93]	[ 6 75]
[24 93]	[12 73]
[24 93]	[12 75]
[24 93]	[12 75]
[24 93]	[12 76]
[24 93]	[12 78]
[24 93]	[12 75]
[24 93]	[12 71]
[24 93]	[12 73]
[24 93]	[13 75]
[24 93]	[13 68]
[24 93]	[13 73]
[24 93]	[13 75]
[24 93]	[13 76]
[24 93]	[13 75]
[24 93]	[10 73]
[24 93]	[10 69]
[24 93]	[10 73]
[24 93]	[10 75]
[24 93]	[10 76]
[24 93]	[10 75]
[24 93]	[12 73]
[24 93]	[12 75]
[24 93]	[12 75]
[24 93]	[12 76]
[24 93]	[12 78]
[24 93]	[12 75]
[24 93]	[12 71]
[24 93]	[12 75]
[24 93]	[20 78]
[24 93]	[20 78]
[24 93]	[20 76]
[24 93]	[13 75]
[24 93]	[13 73]
[24 93]	[13  0]
[24 93]	[13 73]
[24 93]	[13 76]
[24 93]	[13 80]
[24 93]	[13 85]
[24 93]	[13 80]
[24 93]	[18 76]
[24 93]	[18 78]
[24 93]	[18 80]
[24 93]	[18 81]
[24 93]	[18 80]
[24 93]	[18 76]
[24 93]	[10 73]
[24 93]	[10 69]
[24 93]	[10 73]
[24 93]	[10 76]
[24 93]	[10 68]
[24 93]	[10 73]
[24 93]	[ 8 76]
[24 93]	[ 8 76]
[24 93]	[ 8 75]
[24 93]	[ 8 73]
[24 93]	[ 8 72]
[24 93]	[ 8 73]
[24 93]	[13 75]
[24 93]	[13 73]
[24 93]	[13 76]
[24 93]	[13 80]
[24 93]	[13 85]
[24 93]	[13 80]
[24 93]	[18 76]
[24 93]	[18 78]
[24 93]	[18 80]
[24 93]	[18 81]
[24 93]	[18 80]
[24 93]	[18 76]
[24 93]	[10 73]
[24 93]	[10 69]
[24 93]	[10 73]
[24 93]	[10 76]
[24 93]	[10 68]
[24 93]	[10 73]
[24 93]	[ 8 76]
[24 93]	[ 8 75]
[24 93]	[ 8 73]
[24 93]	[13 72]
[24 93]	[13 73]
[24 93]	[13 68]
[24 93]	[13 73]
[24 93]	[13 75]
[24 93]	[13 76]
[24 93]	[13 75]
[24 93]	[10 73]
[24 93]	[10 69]
[24 93]	[10 73]
[24 93]	[10 75]
[24 93]	[10 76]
[24 93]	[10 75]
[24 93]	[ 6 73]
[24 93]	[ 6 70]
[24 93]	[ 6 73]
[24 93]	[ 6 75]
[24 93]	[ 6 76]
[24 93]	[ 6 75]
[24 93]	[12 73]
[24 93]	[12 75]
[24 93]	[12 75]
[24 93]	[12 76]
[24 93]	[12 78]
[24 93]	[12 75]
[24 93]	[12 71]
[24 93]	[12 73]
[24 93]	[13 75]
[24 93]	[13 68]
[24 93]	[13 73]
[24 93]	[13 75]
[24 93]	[13 76]
[24 93]	[13 75]
[24 93]	[10 73]
[24 93]	[10 69]
[24 93]	[10 73]
[24 93]	[10 75]
[24 93]	[10 76]
[24 93]	[10 75]
[24 93]	[12 73]
[24 93]	[12 75]
[24 93]	[12 75]
[24 93]	[12 76]
[24 93]	[12 78]
[24 93]	[12 75]
[24 93]	[12 71]
[24 93]	[12 75]
[24 93]	[20 78]
[24 93]	[20 78]
[24 93]	[20 76]
[24 93]	[13 75]
[24 93]	[13 73]
[24 93]	[13  0]
[24 93]	[13 80]
[24 93]	[13 85]
[24 93]	[13 88]
[24 93]	[13 92]
[24 93]	[13 88]
[24 93]	[18 92]
[24 93]	[18 93]
[24 93]	[18 92]
[24 93]	[18 90]
[24 93]	[18 92]
[24 93]	[18 88]
[24 93]	[10 85]
[24 93]	[10 81]
[24 93]	[10 85]
[24 93]	[10 88]
[24 93]	[10 80]
[24 93]	[10 85]
[24 93]	[ 8 88]
[24 93]	[ 8 88]
[24 93]	[ 8 87]
[24 93]	[ 8 85]
[24 93]	[ 8 84]
[24 93]	[ 8 85]
[24 93]	[13 87]
[24 93]	[13 80]
[24 93]	[13 85]
[24 93]	[13 88]
[24 93]	[13 92]
[24 93]	[18 92]
[24 93]	[18 93]
[24 93]	[18 92]
[24 93]	[18 90]
[24 93]	[18 92]
[24 93]	[18 88]
[24 93]	[10 85]
[24 93]	[10 81]
[24 93]	[10 85]
[24 93]	[10 88]
[24 93]	[10 80]
[24 93]	[10 85]
[24 93]	[ 8 88]
[24 93]	[ 8 87]
[24 93]	[ 8 85]
[24 93]	[ 8 84]
[24 93]	[ 8 85]
[24 93]	[13 85]
[24 93]	[13 80]
[24 93]	[13 85]
[24 93]	[13 88]
[24 93]	[13 92]
[24 93]	[13 88]
[24 93]	[18 92]
[24 93]	[18 93]
[24 93]	[18 92]
[24 93]	[18 90]
[24 93]	[18 92]
[24 93]	[18 88]
[24 93]	[10 85]
[24 93]	[10 81]
[24 93]	[10 85]
[24 93]	[10 88]
[24 93]	[10 80]
[24 93]	[10 85]
[24 93]	[ 8 88]
[24 93]	[ 8 88]
[24 93]	[ 8 87]
[24 93]	[ 8 85]
[24 93]	[ 8 84]
[24 93]	[ 8 85]
[24 93]	[13 87]
[24 93]	[13 80]
[24 93]	[13 85]
[24 93]	[13 87]
[24 93]	[13 88]
[24 93]	[13 87]
[24 93]	[10 85]
[24 93]	[10 81]
[24 93]	[10 85]
[24 93]	[10 87]
[24 93]	[10 88]
[24 93]	[10 87]
[24 93]	[12 85]
[24 93]	[12 87]
[24 93]	[12 90]
[24 93]	[12 87]
[24 93]	[12 83]
[24 93]	[12 87]
[24 93]	[20 90]
[24 93]	[20 90]
[-1 -1]	[20 88]
[24 93]	[13 87]
[24 93]	[13 85]
[24 93]	[13 68]
[24 93]	[13 73]
[24 93]	[13 73]
[24 93]	[ 5 75]
[24 93]	[12 76]
[24 93]	[12 75]
[24 93]	[13 71]
[24 93]	[13 68]
[24 93]	[13 73]
[24 93]	[20 71]
[24 93]	[20 68]
[24 93]	[13 66]
[24 93]	[13 68]
[24 93]	[13 73]
[24 93]	[13 76]
[24 93]	[13 80]
[24 93]	[12 85]
[24 93]	[12 87]
[24 93]	[20 83]
[24 93]	[ 6 80]
[24 93]	[ 6 82]
[24 93]	[20 78]
[24 93]	[20 80]
[24 93]	[20 83]
[24 93]	[20 81]
[24 93]	[13 78]
[24 93]	[13 80]
[24 93]	[13 76]
[24 93]	[13 78]
[24 93]	[ 5 75]
[24 93]	[ 5 76]
[24 93]	[ 5 75]
[24 93]	[ 5 73]
[24 93]	[13 71]
[24 93]	[13 73]
[24 93]	[13 71]
[24 93]	[13 68]
[24 93]	[ 5 66]
[24 93]	[ 5 64]
[24 93]	[ 5 66]
[24 93]	[ 5 68]
[24 93]	[13 71]
[24 93]	[13 73]
[24 93]	[13 76]
[24 93]	[13 75]
[24 93]	[12 76]
[24 93]	[12 78]
[24 93]	[12 76]
[24 93]	[12 75]
[24 93]	[13 71]
[24 93]	[13 68]
[24 93]	[13 73]
[24 93]	[13 71]
[24 93]	[13 75]
[24 93]	[13 73]
[24 93]	[13 80]
[24 93]	[13 85]
[24 93]	[ 5 83]
[24 93]	[ 6 80]
[24 93]	[ 6 82]
[24 93]	[20 78]
[24 93]	[20 80]
[24 93]	[20 83]
[24 93]	[12 85]
[24 93]	[12 87]
[24 93]	[12 85]
[24 93]	[12 83]
[24 93]	[ 5 82]
[24 93]	[ 5 80]
[24 93]	[ 5 76]
[24 93]	[12 80]
[24 93]	[12 78]
[24 93]	[13 75]
[24 93]	[13 73]
[24 93]	[13 75]
[24 93]	[13 76]
[24 93]	[20 78]
[24 93]	[20 80]
[24 93]	[20 78]
[24 93]	[20 75]
[24 93]	[13 78]
[24 93]	[13 80]
[24 93]	[13 85]
[24 93]	[ 5 83]
[24 93]	[ 6 80]
[24 93]	[ 6 82]
[24 93]	[20 78]
[24 93]	[20 80]
[24 93]	[20 83]
[24 93]	[12 85]
[24 93]	[12 87]
[24 93]	[12 85]
[24 93]	[12 83]
[24 93]	[ 5 82]
[24 93]	[ 5 80]
[24 93]	[ 5 82]
[24 93]	[ 5 83]
[24 93]	[13 80]
[24 93]	[13 85]
[24 93]	[13 87]
[24 93]	[13 83]
[24 93]	[ 5 81]
[24 93]	[ 5 80]
[-1 -1]	[12 76]
[24 93]	[12 78]
[24 93]	[13 75]
[24 93]	[13 73]
[24 93]	[13 83]
[24 93]	[13 82]
[24 93]	[13 83]
[24 93]	[13 80]
[24 93]	[13 85]
[24 93]	[13 80]
[24 93]	[13 78]
[24 93]	[13 80]
[24 93]	[13 78]
[24 93]	[13 76]
[24 93]	[13 78]
[24 93]	[13 83]
[24 93]	[13 82]
[24 93]	[13 83]
[24 93]	[13 80]
[24 93]	[13 73]
[24 93]	[13 80]
[24 93]	[13 78]
[24 93]	[13 80]
[24 93]	[13 78]
[24 93]	[18 76]
[24 93]	[18 78]
[24 93]	[18 80]
[24 93]	[18 76]
[24 93]	[18 78]
[24 93]	[18 75]
[24 93]	[18 76]
[24 93]	[13 78]
[24 93]	[13 73]
[24 93]	[13 71]
[24 93]	[13 76]
[24 93]	[13 75]
[24 93]	[18 73]
[24 93]	[18 78]
[24 93]	[18 80]
[24 93]	[18 76]
[24 93]	[18 78]
[24 93]	[18 75]
[24 93]	[18 76]
[24 93]	[13 78]
[24 93]	[13 73]
[24 93]	[13 71]
[-1 -1]	[13 76]
[24 93]	[13 75]
[24 93]	[-1 73]
[24 93]	[-1 68]
[24 93]	[13 71]
[24 93]	[13 73]
[24 93]	[13 73]
[24 93]	[13 73]
[24 93]	[13 71]
[24 93]	[ 5 73]
[24 93]	[ 5 76]
[24 93]	[12 76]
[24 93]	[12 78]
[24 93]	[12 76]
[24 93]	[13 78]
[24 93]	[13 80]
[24 93]	[13 78]
[24 93]	[13 76]
[24 93]	[13 73]
[24 93]	[20 68]
[24 93]	[20 71]
[24 93]	[20 68]
[24 93]	[13 71]
[24 93]	[13 73]
[24 93]	[13 73]
[24 93]	[13 73]
[24 93]	[13 71]
[24 93]	[ 5 73]
[24 93]	[ 5 76]
[24 93]	[12 76]
[24 93]	[12 78]
[24 93]	[12 76]
[24 93]	[13 78]
[24 93]	[13 80]
[24 93]	[13 78]
[24 93]	[20 76]
[24 93]	[20 73]
[24 93]	[13 71]
[24 93]	[13 73]
[24 93]	[13 80]
[24 93]	[ 5 81]
[24 93]	[ 5 83]
[24 93]	[ 5 80]
[24 93]	[ 5 80]
[24 93]	[ 5 78]
[24 93]	[12 76]
[24 93]	[12 78]
[24 93]	[12 78]
[24 93]	[12 78]
[24 93]	[12 76]
[24 93]	[13 78]
[24 93]	[13 80]
[24 93]	[13 78]
[24 93]	[13 76]
[24 93]	[13 73]
[24 93]	[20 73]
[24 93]	[20 71]
[24 93]	[20 68]
[24 93]	[13 71]
[24 93]	[13 73]
[24 93]	[13 73]
[24 93]	[13 73]
[24 93]	[13 71]
[24 93]	[ 5 73]
[24 93]	[ 5 76]
[24 93]	[12 76]
[24 93]	[12 78]
[24 93]	[12 76]
[24 93]	[13 78]
[24 93]	[13 80]
[24 93]	[13 78]
[-1 -1]	[20 76]
[24 93]	[20 73]
[24 93]	[13 71]
[24 93]	[13 73]
[24 93]	[13 75]
[24 93]	[13 76]
[24 93]	[ 8 80]
[24 93]	[ 8 78]
[24 93]	[ 8 76]
[24 93]	[ 8 72]
[24 93]	[13 75]
[24 93]	[13 73]
[24 93]	[18  0]
[24 93]	[18 78]
[24 93]	[18 80]
[24 93]	[18 81]
[24 93]	[12 85]
[24 93]	[12 83]
[24 93]	[12 81]
[24 93]	[12 80]
[24 93]	[ 5 78]
[24 93]	[ 1 80]
[24 93]	[18  0]
[24 93]	[18 81]
[24 93]	[18 83]
[24 93]	[18 81]
[24 93]	[18 78]
[24 93]	[18 80]
[24 93]	[18 81]
[24 93]	[18 85]
[24 93]	[18 83]
[24 93]	[13 81]
[24 93]	[13 80]
[24 93]	[13 81]
[24 93]	[13 80]
[24 93]	[13 79]
[24 93]	[13 80]
[24 93]	[13 81]
[24 93]	[13 80]
[24 93]	[13 76]
[24 93]	[18 73]
[24 93]	[18 75]
[24 93]	[ 8 81]
[24 93]	[ 8 80]
[24 93]	[13 72]
[24 93]	[13 75]
[24 93]	[ 8 73]
[24 93]	[ 8 73]
[24 93]	[13 72]
[24 93]	[13 73]
[24 93]	[13  0]
[24 93]	[1 0]
[24 93]	[ 1 85]
[24 93]	[ 1 85]
[24 93]	[ 1 73]
[24 93]	[18 83]
[24 93]	[18 83]
[24 93]	[ 1 81]
[24 93]	[ 1 81]
[24 93]	[18 80]
[24 93]	[18 81]
[24 93]	[12  0]
[24 93]	[12 83]
[24 93]	[12 83]
[24 93]	[12 71]
[24 93]	[ 5 81]
[24 93]	[ 5 81]
[24 93]	[12 80]
[24 93]	[12 80]
[24 93]	[ 5 79]
[24 93]	[ 8 80]
[24 93]	[13  0]
[24 93]	[13 76]
[24 93]	[13 78]
[24 93]	[13 76]
[24 93]	[13 73]
[24 93]	[13 75]
[24 93]	[13 76]
[24 93]	[13 78]
[24 93]	[13 80]
[24 93]	[ 8 76]
[24 93]	[ 8 75]
[24 93]	[ 8 76]
[24 93]	[ 8 75]
[24 93]	[ 8 72]
[24 93]	[ 8 73]
[24 93]	[ 8 75]
[24 93]	[ 8 76]
[24 93]	[ 8 78]
[24 93]	[13 75]
[24 93]	[13 76]
[24 93]	[13 78]
[24 93]	[13 76]
[24 93]	[13 73]
[24 93]	[ 8 76]
[24 93]	[ 8 80]
[24 93]	[ 8 78]
[24 93]	[ 8 76]
[24 93]	[13 72]
[24 93]	[13 75]
[24 93]	[ 8 73]
[-1 -1]	[ 8 73]
[24 93]	[13 72]
[24 93]	[-1 73]
[24 93]	[-1 68]
[24 93]	[-1 73]
[24 93]	[24 75]
[24 93]	[ 8 76]
[24 93]	[24 75]
[24 93]	[ 8 73]
[24 93]	[24 75]
[24 93]	[24 76]
[24 93]	[24  0]
[24 93]	[24 68]
[24 93]	[24 73]
[24 93]	[24 75]
[24 93]	[ 8 76]
[24 93]	[24 75]
[24 93]	[ 8 73]
[24 93]	[24 72]
[24 93]	[24 73]
[24 93]	[24  0]
[24 93]	[24 68]
[24 93]	[24 73]
[24 93]	[24 75]
[24 93]	[24 73]
[24 93]	[24  0]
[24 93]	[24 80]
[24 93]	[24 80]
[24 93]	[24 80]
[24 93]	[24 80]
[24 93]	[18 80]
[24 93]	[18 81]
[24 93]	[18 80]
[24 93]	[ 8 78]
[24 93]	[ 8 78]
[24 93]	[ 8 78]
[24 93]	[ 8 78]
[24 93]	[24 80]
[24 93]	[24 76]
[24 93]	[24 78]
[-1 -1]	[24 80]
[24 93]	[ 8 76]
[24 93]	[-1 75]
[24 93]	[13 68]
[24 93]	[13 68]
[24 93]	[13 73]
[24 93]	[13 73]
[24 93]	[13 73]
[24 93]	[13 72]
[24 93]	[13 73]
[24 93]	[13 76]
[24 93]	[13 75]
[24 93]	[13 73]
[24 93]	[13 76]
[24 93]	[ 5 78]
[24 93]	[ 5 80]
[24 93]	[ 5 81]
[24 93]	[ 5 80]
[24 93]	[ 5 80]
[24 93]	[ 5 82]
[24 93]	[12 83]
[24 93]	[12 78]
[24 93]	[12 75]
[24 93]	[12 71]
[24 93]	[12 71]
[24 93]	[12 70]
[24 93]	[13 71]
[24 93]	[13 68]
[24 93]	[13 73]
[24 93]	[13 73]
[24 93]	[13 73]
[24 93]	[13 72]
[24 93]	[13 73]
[24 93]	[13 76]
[24 93]	[13 75]
[24 93]	[13 73]
[24 93]	[13 76]
[24 93]	[ 8 78]
[24 93]	[ 8 80]
[24 93]	[ 8 81]
[24 93]	[ 8 80]
[24 93]	[ 8 78]
[24 93]	[ 8 76]
[24 93]	[13 75]
[24 93]	[13 76]
[24 93]	[13 73]
[24 93]	[13 73]
[24 93]	[13 73]
[24 93]	[13 80]
[24 93]	[13 82]
[24 93]	[13 83]
[24 93]	[13 85]
[24 93]	[13 80]
[24 93]	[13 80]
[24 93]	[13 85]
[24 93]	[13 80]
[24 93]	[13 80]
[24 93]	[13 85]
[24 93]	[13 80]
[24 93]	[13 78]
[24 93]	[13 76]
[24 93]	[13 75]
[24 93]	[12 73]
[24 93]	[12 75]
[24 93]	[12 73]
[24 93]	[12 75]
[24 93]	[12 83]
[24 93]	[12 82]
[24 93]	[12 80]
[24 93]	[12 78]
[24 93]	[12 75]
[24 93]	[12 71]
[24 93]	[12 71]
[24 93]	[12 70]
[24 93]	[13 71]
[24 93]	[13 80]
[24 93]	[13 85]
[24 93]	[13 85]
[24 93]	[13 85]
[24 93]	[13 84]
[24 93]	[ 5 85]
[24 93]	[ 5 80]
[24 93]	[ 5 83]
[24 93]	[ 5 83]
[24 93]	[ 5 83]
[24 93]	[ 5 82]
[24 93]	[ 8 83]
[24 93]	[ 8 80]
[24 93]	[ 8 81]
[24 93]	[ 8 80]
[24 93]	[ 8 78]
[24 93]	[ 8 76]
[24 93]	[13 75]
[-1 -1]	[13 76]
[24 93]	[13 73]
[24 93]	[13 73]
[24 93]	[13 80]
[24 93]	[13 81]
[24 93]	[13 80]
[24 93]	[13 78]
[24 93]	[13 76]
[24 93]	[13 78]
[24 93]	[13 76]
[24 93]	[13 75]
[24 93]	[13 73]
[24 93]	[ 8 76]
[24 93]	[ 8 75]
[24 93]	[ 8 76]
[24 93]	[ 8 75]
[24 93]	[ 8 73]
[24 93]	[ 8 72]
